client_code,company_name,contact_person,contact_email,country,total_balance
CLT-0045,Aurora Capital 45,Alice Johnson,contact.45@client-45.com,US,282879806.34
CLT-0633,Orion Fund 633,David Brown,contact.633@client-633.com,FR,281555454.39
CLT-0351,Pegasus Asset Management 351,Grace Lee,contact.351@client-351.com,BE,278748036.54
CLT-0053,Jupiter Wealth 53,Iris Clark,contact.53@client-53.com,IT,273624806.16
CLT-0485,Apex Holdings 485,Frank Wilson,contact.485@client-485.com,CH,273453505.46
CLT-0947,Helios Investments 947,Carol White,contact.947@client-947.com,DE,273096545.02
CLT-0447,Andromeda Insurance 447,Maria Santos,contact.447@client-447.com,JP,269919748.07
CLT-0885,Aurora Capital 885,Alice Johnson,contact.885@client-885.com,US,263738703.62
CLT-0579,Horizon Trust 579,James Taylor,contact.579@client-579.com,LU,258131263.64
CLT-0305,Apex Holdings 305,Frank Wilson,contact.305@client-305.com,CH,257755147.37
CLT-0253,Solaris Pension 253,Noah Kim,contact.253@client-253.com,AU,257529127.70
CLT-0604,Nexus Group 604,Emma Davis,contact.604@client-604.com,NL,256592131.07
CLT-0492,Cascade Insurance 492,Maria Santos,contact.492@client-492.com,JP,255143352.80
CLT-0523,Solaris Pension 523,Noah Kim,contact.523@client-523.com,AU,252973418.35
CLT-0363,Orion Fund 363,David Brown,contact.363@client-363.com,FR,252164956.27
CLT-0455,Apex Holdings 455,Frank Wilson,contact.455@client-455.com,CH,251990299.99
CLT-0068,Pinnacle Wealth 68,Iris Clark,contact.68@client-68.com,IT,250888248.33
CLT-0769,Phoenix Group 769,Emma Davis,contact.769@client-769.com,NL,250646926.80
CLT-0291,Pegasus Asset Management 291,Grace Lee,contact.291@client-291.com,BE,250279355.58
CLT-0440,Olympus Holdings 440,Frank Wilson,contact.440@client-440.com,CH,248332190.65
CLT-0727,Summit Securities 727,Henry Martin,contact.727@client-727.com,ES,247852273.25
CLT-0001,Zenith Partners 1,Bob Smith,contact.1@client-1.com,GB,247327972.15
CLT-0040,Sterling Finance 40,Karen Hughes,contact.40@client-40.com,SG,247272232.35
CLT-0096,Vertex Asset Management 96,Grace Lee,contact.96@client-96.com,BE,246803624.56
CLT-0694,Nexus Group 694,Emma Davis,contact.694@client-694.com,NL,246640484.79
CLT-0497,Helios Investments 497,Carol White,contact.497@client-497.com,DE,245259687.94
CLT-0817,Summit Securities 817,Henry Martin,contact.817@client-817.com,ES,244574317.69
CLT-0101,Meridian Bank 101,Liam Chen,contact.101@client-101.com,HK,244265657.25
CLT-0541,Zenith Partners 541,Bob Smith,contact.541@client-541.com,GB,243569672.70
CLT-0912,Cascade Insurance 912,Maria Santos,contact.912@client-912.com,JP,241142506.59
CLT-0033,Orion Fund 33,David Brown,contact.33@client-33.com,FR,240033229.97
CLT-0891,Pegasus Asset Management 891,Grace Lee,contact.891@client-891.com,BE,239802132.76
CLT-0754,Nexus Group 754,Emma Davis,contact.754@client-754.com,NL,238072044.90
CLT-0875,Apex Holdings 875,Frank Wilson,contact.875@client-875.com,CH,237655596.56
CLT-0134,Polaris Global 134,Olivia Patel,contact.134@client-134.com,CA,236965174.71
CLT-0546,Vertex Asset Management 546,Grace Lee,contact.546@client-546.com,BE,236589312.22
CLT-0628,Centaurus Pension 628,Noah Kim,contact.628@client-628.com,AU,235939289.88
CLT-0946,Quantum Partners 946,Bob Smith,contact.946@client-946.com,GB,235730112.63
CLT-0673,Solaris Pension 673,Noah Kim,contact.673@client-673.com,AU,235172179.00
CLT-0602,Atlas Investments 602,Carol White,contact.602@client-602.com,DE,233391810.57
CLT-0915,Aurora Capital 915,Alice Johnson,contact.915@client-915.com,US,233120522.77
CLT-0504,Saturn Trust 504,James Taylor,contact.504@client-504.com,LU,232869525.97
CLT-0920,Olympus Holdings 920,Frank Wilson,contact.920@client-920.com,CH,232798857.69
CLT-0520,Sterling Finance 520,Karen Hughes,contact.520@client-520.com,SG,232637892.64
CLT-0913,Solaris Pension 913,Noah Kim,contact.913@client-913.com,AU,231873806.31
